Sponsor,Center,Count
,"Melbourne, Australia",1
123 Library,"Hangzhou, China",2
15-40 Connection,"London, England",2
15-40 Connection,Namibia,1
495/MetroWest Corridor Partnership,Morocco,1
5CGroup,"Hangzhou, China",1
5CGroup,"Ifrane, Morocco",1
7Hills,Worcester Community Project Center,2
Abby's House,Worcester Community Project Center,6
Abington Public Schools,Namibia,7
Academic Resources Center,"Melbourne, Australia",1
Acadia National Park,"Bar Harbor, Maine",30
Acadia National Park,"Worcester, MA",6
Acadia National Park,"Melbourne, Australia",2
Acadia National Park,Worcester Community Project Center,2
Acadia National Park,"London, England",1
Acadia National Park,Puerto Rico,1
Acadia Park,"Bar Harbor, Maine",2
ACDA/ATC,"Cape Town, South Africa",2
"ACEVO, London, England",Puerto Rico,2
"Adam Burney, Auburn Town Planner",Worcester Community Project Center,2
ADER,Morocco,3
ADER,Worcester Community Project Center,1
ADER-Fes,Morocco,1
"Adrian Gregory, Grow Wellington",New Zealand,2
Adrian Hewitt,"London, England",3
"Advisory Committee on the Status of Women, Worcester, Mass","Hong Kong, China",2
Advisory Council on the Status of Women; Worcester,"San Jose, Costa Rica",2
AECOM,"Melbourne, Australia",6
AFAC,"Melbourne, Australia",7
AFAC,"Cape Town, South Africa",1
AFAC,"Hong Kong, China",1
AFAC,"Venice, Italy",1
AFAC,Worcester Community Project Center,1
African Community  Education Program,Worcester Community Project Center,1
African Community Education Program Inc.,Worcester Community Project Center,1
Agenda 21,"Copenhagen, Denmark",2
Agenda 21 Center of Indre Norrebro,"Copenhagen, Denmark",3
AgroInnova,Puerto Rico,3
"Agroponicos, Cosecha de PR Inc.",Puerto Rico,1
"Agroponicos, Cosecha de Puerto Rico, Inc.",Puerto Rico,1
AIAA,"Melbourne, Australia",5
AIAA,"Hong Kong, China",1
AIAA,"San Jose, Costa Rica",1
AIAA New England,"Venice, Italy",1
AIAA New England Chapter,"Bar Harbor, Maine",3
AIAA New England Chapter,"Hong Kong, China",3
AIAA New England Chapter,"Venice, Italy",3
AIAA New England Chapter,"Boston, Massachusetts",1
AIAA New England Chapter,"Melbourne, Australia",1
AIAA New England Chapter,Namibia,1
