Clickable Link,Identifier,Title,DateCreated,ProjectType,Availability,Abstract,FullTextUrl,ProjectCenter_x,Location_x,Creator,Advisors_x,Sponsor,Date,ProjectCenter_y,Location_y,SubjectTerms,Link,Advisors_y,Initials,Notes,LinkToSummary,Goal,Stakeholders,Impact,Headline,Follow-up,Category
http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/05D200I.pdf,05D200I,3rd grade engineering and technology curriculum,1/1/2005,IQP,Restricted,"The National Science Foundation (NSF) provided Worcester Polytechnic Institute with a three year grant to assist in the teaching of engineering and technology into the elementary curriculum. IQP students worked in both the Midland Street and Flagg Street Schools. Between the schools there were a total of five classrooms with two IQP students working within each school. Each school and set of IQP students were overseen by a graduate fellow, and the entire third grade team was supervised by a faculty advisor. Through the tools of questioning, group work, and hands-on learning, engineering lessons were designed to be implemented into the classrooms. Over the course of the project year seventeen engineering lessons were created. Of these seventeen lessons ten were implemented, five at Flagg Street School and five at Midland Street School. The main focus of the lessons was to incorporate the five Worcester Public School engineering and technology benchmarks. These benchmarks cover the material students will be tested on in future Massachusetts Comprehensive Assessment System testing. The lessons implemented in both schools covered four out of the five engineering and technology benchmarks. Another goal of this project was to raise the interest and enthusiasm of minorities and females in engineering and technology. The success of this project was measured by the enthusiasm displayed by both the students and the teachers. This project will be concluded in the next and final year of the grant through an adaptation/sustainability team. This will prov[ide] teachers with the knowledge of engineering to continue this program beyond the life of the NSF grant.",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/05D200I.pdf,,"Worcester, Massachusetts","Vitale, Daniel F.| Ebersole, Garrett P.| Shaffer, Jeanne Angela| Strum, Lindsey Marie","Fofana, Mustapha S.",National Science Foundation (NSF),5-Jan,On-Campus,"Worcester, MA",Engineering--Study and teaching | Women engineers--education,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=5150&context=iqp-all,"Fofana, Mustapha S.",CS,Lesson plans in appendices; doesn't really talk about females,https://docs.google.com/document/d/1kQrETvG1j7PPP9nQJhhfqqjOirVXq8gnMs6BTwbvIbE/edit?usp=sharing,"To develop lessons for engineering, work with the teachers to implement the lessons and evaluate the impact of the lessons",Worcester public school students,Developed engineering curriculum that the students enjoyed,3rd grade engineering and tech curriculum,,Education- STEM
http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E047I.pdf,06E047I,A Future Scientists and Engineers Club for Doherty HS -- a pilot project,1/1/2006,IQP,Restricted,"A Future Scientist and Engineers after school club program was designed to assist students of Doherty High School achieve their aspirations. This short pilot project version of the project established the feasibility of creating such a program and the level of interest at the school. Several means of having a meaningful influence on the students were tested. Attention is also paid to the question of gaining access and the form this project might take in the future. The striking success of the program in attracting females who wanted to explore the possibilities in a technical career without making the commitment necessary to be part of the Engineering and Technology Academy at Doherty is noted. We conclude that lack of knowledge is a barrier to the technical professions, that this project was successful in lowering that barrier, and should be expanded.",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E047I.pdf,,"Worcester, Massachusetts","Dorchik, Brian John| Duncan, Matthew","Wilkes, John M.",Worcester City Manager's Advisory Committee on the Status of Women (ACSW),1/1/2006,On-Campus,"Worcester, MA",Engineering--Study and teaching |Science--Study and teaching | Women in engineering,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06E047I.pdf,"Wilkes, John  M.",CS,Only mentioned girls in passing,https://docs.google.com/document/d/17T7tfoI40WNrFIgzY-EZxNmVK7RVnrJC-591xxukTCM/edit?usp=sharing,Ultimate goal is to help high school students achieve career aspirations,"Students at Doherty Memorial High School, Worcester City Manager?s Advisory Committee on the Status of Women (ACSW)",Answered questions about science and engineering; had two meetings a week- one was general and the other focused on a specific grade level. Was not committed to involving girls,,,
http://www.wpi.edu/Pubs/E-project/Available/E-project-040308-174710/unrestricted/SOUTHHIGHFINAL.pdf,E-project-040308-174710,A Future Scientists and Engineers Club for Worcester South High School,4/3/2008,IQP,unrestricted,"An extension of the ""Future Scientist and Engineers Club"" initiative which began at Doherty High School, was the effort to establish a similar club at South High School. Again, college students from WPI interacted with selected high school students to spark interest in possible careers in science and engineering. We conclude that the club is a very effective way to not only encourage students to pursue technical careers in general, but also to assist students overcome specific obstacles they face applying to college.
",http://www.wpi.edu/Pubs/E-project/Available/E-project-040308-174710/unrestricted/SOUTHHIGHFINAL.pdf,,"Worcester, Massachusetts","Ambrosino, Nicholas Paul","Wilkes, John M.",Worcester City Manager's Advisory Committee on the Status of Women (ACSW),4/3/2008,On-Campus,"Worcester, MA",Engineering--Study and teaching |Science--Study and teaching | Women in engineering,http://www.wpi.edu/Pubs/E-project/Available/E-project-040308-174710/unrestricted/SOUTHHIGHFINAL.pdf ,"Wilkes, John  M.",CS,,https://docs.google.com/document/d/1LTeZZmlKTnD0Xwa0-ABMI_de1SGOZrr9FtRy1ZDql6Y/edit?usp=sharing,Create a place where South High School students tentatively interested in science or technology as a college major could find out what engineering and science at the college level is about,"Students at Worcester South High School, Worcester City Manager?s Advisory Committee on the Status of Women (ACSW)","Answered questions about college admittance and about science/engineering in college. By the time the program was finished, the ratio was 1:2 females to males (the number of females increased weekly)- successfully increased female involvement",,,Education
http://www.wpi.edu/Pubs/E-project/Available/E-project-042816-115843/unrestricted/badumas_IQP.pdf,E-project-042816-115843,A Radical Feminist Critique of the Video Games Industry,4/28/2016,IQP,unrestricted,"This IQP proposes a radical feminist critique of the video game industry. It explores the conflicts arising at the intersection of video games, gender, violence, masculinity, and militarism, and argues that the industry as a whole reinforces an unjust set of gendered political power relations. This paper strives to understand the problems and conflicts existing at the core of video game design, and charts new paths toward challenging games, gamers, and the industry from a feminist perspective.",http://www.wpi.edu/Pubs/E-project/Available/E-project-042816-115843/unrestricted/badumas_IQP.pdf,,"Worcester, Massachusetts","Dumas, Bryce Alexander","Sanbonmatsu, John",,4/28/2016,On-Campus,"Worcester, MA",Video games |Women--Social conditions,http://www.wpi.edu/Pubs/E-project/Available/E-project-042816-115843/unrestricted/badumas_IQP.pdf,"Sanbonmatsu, John",CS,More of a research paper- not really any recommendations given,https://docs.google.com/document/d/1lrnmbASGfomeVBDKQLUlPTVlafx0kHmV6-x4VqfY_zs/edit?usp=sharing,To discuss the objectification of women in video games,"Video game industry, people who play video games","Reveals how societal values are reflected in the video game industry through the various tropes of female characters in video games (damsel in distress, ""Ms. Male character,"" sexual objectification of females)",A Radical Feminist Critique of the Video Games Industry,,Cultural
http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06D284I.pdf,06D284I,A follow up study on the class of 1990?,1/1/2006,IQP,Restricted,"This paper is a proposal for a longitudinal cognitive gender study on the class of 2002. 138 alumni of the class of 2002 have been matched with a counterpart of the same year by the major, grades and cognitive type. Sources of attrition and difficulty have been identified by a past attempt at contacting the WPI alumni of 1990. A system of contacting and maintaining data sets on these alumni is proposed that would allow for attrition of the sample pool without compromising the study.",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/06D284I.pdf,,"Worcester, Massachusetts","Connaughton, Blaine","Wilkes, John M.",,1/1/2006,On-Campus,WPI,women in engineering | personality and intelligence,https://web.wpi.edu/Pubs/E-project/Scanned/06D284I.pdf,"Wilkes, John  M.",CS,"""Cognitive gender study""",https://docs.google.com/document/d/1XnKmfFaRIahoPgMG0PjSDNut1dVaHgXHTR7cMJaTQK4/edit?usp=sharing,Test the theory of gender and cognitive type as described in GCSI literature (people of a certain cognitive type have more/less success than in work force of different fields),WPI alumni,"Due to problems with data management, no results were presented. Information was available from the class of 2002, and it was suggested that their information be kept up to date so they could be studied in the future",,,Education at WPI
http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/03D178I.pdf,03D178I,A study of patient treatment scheduling at the Gillette Center for Women's Cancers.,1/1/2003,IQP,Restricted,"The process of creating patient treatment schedules at the Gillette Center for Women's Cancers is currently a lengthy and time-inefficient one. The goal of this project was to provide an assessment of the patient treatment scheduling procedure and product and then to develop several alternative methods in which aspects of automation could be added. In order to thoroughly meet the project objectives, we collected information from both the clinical research coordinators who create these treatment schedules and the patients who use them. Additionally, several other facilities where treatment schedules are used were contacted to increase the extent of our knowledge on alternate processes. Finally, a set of recommendations based on our findings were presented to the sponsor to aid in the implementation of an alternative method for treatment calendar creation.",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/03D178I.pdf,"Boston, Massachusetts Project Center - IQP","Boston, Massachusetts","Fisher, Cassie L.| Caron, Crystal Lee| Rogers, Sarah Marie","Demetry, Chrysanthe| Volkoff, Olga",Gillette Center for Women's Cancers,1/1/2003,"Boston, Massachusetts","Boston, Massachusetts",Automation |Women--Health,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/03D178I.pdf,"Demetry, Chrysanthe| Volkoff, Olga",CS,,https://docs.google.com/document/d/1FYTy9JFIbIncUcKrkmYQQGn20CYL_cQmEobmCNpDpKM/edit?usp=sharing,Sought to determine requirements for treatment calendars and the problems associated with this creation process,Patients and research coordinators at Gillette Center for Women?s cancers,Recommendations were made for a treatment calendar system and software; recommended system was low cost and had to ability to create and save multiple calendars,,,Health
http://www.wpi.edu/Pubs/E-project/Available/E-project-030217-110352/unrestricted/IQP_Report.pdf,E-project-030217-110352,ATTRACTION AND RETENTION OF WOMEN IN COMPUTER SCIENCE AT WORCESTER POLYTECHNIC INSTITUTE,3/2/2017,IQP,unrestricted,"This project is intended to help the Computer Science Department at Worcester Polytechnic Institute understand the underlying reasons why female students are underrepresented in the department. Based upon the analysis of 193 survey responses and several interviews, this project builds upon both existing research and the team's own investigations. Our in-depth analysis results in a series of recommendations to increase the number of women in computer science at the university.",http://www.wpi.edu/Pubs/E-project/Available/E-project-030217-110352/unrestricted/IQP_Report.pdf,,"Worcester, Massachusetts","Keeley-DeBonis, Brian J.| Hammer, Christopher C.| Wallace, Hope| LaPierre, Katherine","Fisler, Kathryn",,3/2/2017,On-Campus,WPI,Women in science | Women--Education--Science,http://www.wpi.edu/Pubs/E-project/Available/E-project-030217-110352/unrestricted/IQP_Report.pdf,"Fisler, Kathryn",CS,,https://docs.google.com/document/d/1nhf_nxN_GZy2OtUL_XyjDTO_p4_gy-BW8A1rwPCTXYg/edit?usp=sharing,To help the Computer Science Department at Worcester Polytechnic Institute understand the underlying reasons why female students are underrepresented in the department,"CS students, CS faculty, CS department","Gave recommendations for CS students, faculty, and department in order to increase student-student and student-faculty interactions, increase number of work areas for students, and increase academic advisors' connects with students",,,Education at WPI
http://www.wpi.edu/Pubs/E-project/Available/E-project-032417-141744/unrestricted/MICRO_IQP_SUBMIT.pdf,E-project-032417-141744,Acute and Chronic Stressor Mechanisms in Health Disparities,3/24/2017,IQP,unrestricted,"The present study examined the relationship between the acute stress of receiving a simulated microaggression, and acute and chronic physiological parameters. Prior research has shown women, minorities, and foreign-born individuals are more likely to experience these microaggressions daily compared to caucasian counterparts. Self-reported surveys were used as measures of subjective social status as well as frequency of perceived microaggressions. Female students at a male-dominated engineering school reported higher perceived microaggressions and lower SSS than male counterparts, despite college efforts towards inclusivity.",http://www.wpi.edu/Pubs/E-project/Available/E-project-032417-141744/unrestricted/MICRO_IQP_SUBMIT.pdf,,"Worcester, Massachusetts","Bedard, Ashlyn| Deidrich, Christine K.| Coogan, Corey James| Otoo, Naomi","O'Brien, Kymberlee M.",,3/24/2017,On-Campus,"Worcester, Massachusetts",Women in engineering | Women in science | Women--Social conditions | Equality--Social aspects | Mental health,http://www.wpi.edu/Pubs/E-project/Available/E-project-032417-141744/unrestricted/MICRO_IQP_SUBMIT.pdf,"O'Brien, Kymberlee M.",CS,"Focused mainly on racial microaggressions, but related them to gender",https://docs.google.com/document/d/12ArvPjfY1KpCbF6PvXvwHOuMk4ZPpid76jw30qEky1w/edit?usp=sharing,To evaluate the impact and frequency of microaggressions,"Minority groups (women, racial minorities)","Revealed the state of microaggressions at WPI- females self-reported the most microaggressions and daily discrimination. Seniors experienced the most microaggressions, and people of a perceived higher social standing did not have a strong response to microaggressions. ",gender and racial microaggressions at WPI?,,Education (at WPI)
http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01E018I.pdf,01E018I,Affects of the WPI society on students over time.,1/1/2001,IQP,Restricted,"Our study, ""Affects of the WPI Society on Students Over Time,"" was conducted to determine the differences in the effects on students at a male-dominated engineering school as compared to non-male dominated liberal arts school, Assumption College. Some of the major observable results of the WPI society on students as compared to Assumption College are less study time per day, higher sense of comfort with professors, more females pressured into sexual relations, more students attending fraternity parties, fewer female to female social and academic interactions, and more males having negative attitudes towards fellow female students.  This study will make recommendations in an attempt to rectify the negative issues that have arisen due to the WPI society.",http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01E018I.pdf,,"Worcester, Massachusetts","Rondeau, Darrell Kenneth| Krager, Michael Kenneth| Armitstead, Suzanne Mareda","Dunn, Patrick P.",,1/1/2001,On-Campus,"Worcester, Massachusetts",Women in engineering |Women Engineers--Education | Women--Social conditions,http://ezproxy.wpi.edu/login?url=http://www.wpi.edu/Pubs/E-project/Scanned/01E018I.pdf,"Dunn, Patrick P.",CS,More of a research study- no recommendations presented,https://docs.google.com/document/d/1BaPD3CfcK5ocqwrVvC1zf3SxB14RRPXBX7VsAy6nbxU/edit?usp=sharing,"To give information about the flaws in the WPI society that can be fixed; identify major changes students go through and, by comparing to changes at Assumption College, identify problem areas",Students at WPI and Assumption college,Developed and tested a series of workshops for WPI Camp REACH alumni- helps retain interest in STEM,Negative perceptions? Social pressures of female WPI students,Possible IQP- redo survey,Education (at WPI)
https://web.wpi.edu/Pubs/E-project/Scanned/07E037I/07E037I.pdf,07E037I,Alternate reality game for WPI Admissions.,1/1/2007,IQP,Restricted,"Alternate Reality Games have been used as effective marketing tools in several industries, including film, gaming, television, automobiles, and apparel. The goal of this project was to investigate the use of alternate reality games to promote other industries, specifically, university enrollment at WPI. The project team ran an alternate reality game for admitted students during April, and compared enrollment statistics to previous years. A particular goal of the project was to boost the number of women enrolling at WPI.",https://web.wpi.edu/Pubs/E-project/Scanned/07E037I/07E037I.pdf,,"Worcester, Massachusetts","Drouin, Christopher Matthew Hansen| Strong, Joseph W.| Bryant Nova, Karin| Desilets, Richard T.","O'Donnell, Dean M.",,1/1/2007,On-Campus,"Worcester, MA",Virtual reality |Marketing | Women in engineering,https://web.wpi.edu/Pubs/E-project/Scanned/07E037I/07E037I.pdf,"O'Donnell, Dean M.",CS,"Abstract mentions boosting number of women enrolling at WPI, but no specific data is mentioned in the paper",https://docs.google.com/document/d/1qJ34VeIq6MU4WTtPNS7jLNOb5oOf8a8IwCMukw6NSB4/edit?usp=sharing,Create a successful and fun alternate reality game; help WPI Admissions increase number of admitted students who decide to attend WPI; bring attention to IMGD program,"WPI Admissions, students admitted to WPI class of 2011","The game was not very successful as a marketing tool (only 500 visitors to the site)- more marketing should be done in order to obtain more visitors. The goal mentioned increasing the number of females at WPI, but did not present any specific data on this.",Attracting female students to WPI through AR games,,Education (at WPI)
