Title,Center,Date,Sponsor,Advisors,Abstract,URL,PDF
Climate Change Identities 2014,New Zealand,March 2014,Landcare Research,"['Davis, Paul W.', 'Manzo, Vincent Joseph']","By collecting and analyzing public interviews, this project assisted Landcare Research in its study of responses of New Zealanders to climate change; public reaction is a key component of climate change prediction. Our team developed a framework of four theories for understanding perceptions of climate change among the people of New Zealand. Those theories involve observations about frustration, media coverage, and economic aspects of climate change as well as research questions to further refine Landcare’s understanding of citizens’ perceptions.",http://digitalcommons.wpi.edu/iqp-all/239,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1238&context=iqp-all
City Of Darebin Inspired Climate Change Solutions,"Melbourne, Australia",December 2017,Friends of the Earth,"['Looft, Fred J.', 'Oates, Karen Kashmanian']","The goal of this project was to assist Act on Climate volunteers with empowering communities in the city of Darebin (Victoria, Aus) to be able to voice their concerns and solutions towards climate change. To achieve this goal, we assessed constituents’ knowledge and perceptions on climate change through the distribution of a climate survey and identified concerns and solutions related to climate change with a separate sorting survey. We generated recommendations for the Friends of the Earth campaign Act on Climate and the Darebin City Council based on the results of both surveys and the effectiveness of the methodology used to conduct and distribute them. These recommendations included methods for improved communication with constituents and promotion of the Darebin Climate Emergency Plan.",http://digitalcommons.wpi.edu/iqp-all/1470,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2469&context=iqp-all
"Perceptions of a Changing Climate, Exposure, and Vulnerability in Himachal Pradesh",India,April 2018,IIT-Mandi,"['Shockey, Ingrid K.', 'Tuler, Seth']",We aimed to characterize perceptions of exposure and vulnerability to climate change among lifelong residents of Himachal Pradesh. We examined local climate data and interviewed rural and urban residents to identify and map perceived exposures and vulnerabilities to climate change. Residents reported shorter winters and decreased precipitation and attributed these changes to human activity. Most residents expressed willingness to make personal lifestyle changes to address climate change. We also determined that the villages vulnerability to climate change is primarily due to lack of income opportunities outside of subsistence agriculture. Additional studies should be conducted to more completely assess the exposure and vulnerability of the region to climate change.,http://digitalcommons.wpi.edu/iqp-all/3263,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=4262&context=iqp-all
Evaluating the Causes and Consequences of Climate Migration in Morocco,Morocco,October 2016,Ribat Al Fatah,"['Shockey, Ingrid K.', 'Somasse, Gbetonmasse Blaise']","Migration caused by climate change has already affected many communities, but has only recently been recognized as a problem. While climate change can cause migration, other factors such as political and socioeconomic issues can also provoke migration. Our goal was to gather research from a variety of sources to determine potential risks and impacts of climate migration on different areas in Morocco. We identified regions that are vulnerable to climate migration. We identified potential strategies for adaptation to climate change.",http://digitalcommons.wpi.edu/iqp-all/777,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1776&context=iqp-all
Stories of Climate Change in Himachal Pradesh,Morocco,April 2019,IIT-Mandi,"['Shockey, Ingrid K.', 'Somasse, Gbetonmasse Blaise']",Climate change research has focused on scientific data as the driving force in building awareness of climate change. Less has been done to collect climate data from the perspectives of ordinary people. Ethnographic approaches enable citizen science participation in climate change research. We conducted and recorded semi-structured interviews and collected stories of lifelong residents in Himachal Pradesh to assess the perspectives of climate change. These findings communicate subtle perspectives on the experience and indicators of climate change through the stories.,http://digitalcommons.wpi.edu/iqp-all/5388,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6387&context=iqp-all
"Preparing the City of Chelsea, Massachusetts to Better Adapt to Climate Change","Boston, Massachusetts",October 2014,Massachusetts Institute of Technology Sea Grant,"['Mathisen, Paul P.', 'Tuler, Seth']","Chelsea, Massachusetts is susceptible to the impacts of climate change, including increased risk of flooding, storm severity, and number of extreme heat events. City planners wish to be more proactive in planning for these impacts. We generated two guidance documents to inform the City’s boards about climate change and its impacts, vulnerabilities, and mitigation and adaptation strategies. Geographic data analysis and input from developers and board members helped with the guidance document design. Recommendations to improve planning were provided.",http://digitalcommons.wpi.edu/iqp-all/254,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=1253&context=iqp-all
Planning for the Future: Climate Adaptation in Hazard Mitigation Plans and Comprehensive Water Resource Management Plans,"Boston, Massachusetts",March 2012,Social and Environmental Research Institute,"['Tuler, Seth']","This project investigated whether hazard mitigation plans (HMPs) and comprehensive water resource management plans (CWRMPs) completed by cities and towns in Massachusetts account for the long term effects of climate change. As our group investigated climate change in coastal Massachusetts, we examined if current HMPs included climate change information. We then looked into the opportunities and barriers for climate change information being included in coastal communityÂ’s CWRMPs and HMPs.  By understanding what goes into the development of these plans and the outcomes of climate change, we provided recommendations to improve these plans as a resource for urban and environmental planners.",http://digitalcommons.wpi.edu/iqp-all/2662,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3661&context=iqp-all
Educating Greek Students about Climate Change through Serious Games,"Boston, Massachusetts",April 2019,Environmental Education Centre,"['Demetry, Chrysanthe', 'Vaz, Richard F.']","In Greece, climate change is projected to have detrimental effects, disrupting agricultural production, wildlife species, public health and economic standing. Studies have shown that increasing education can help combat climate change. The goal of this project was to develop serious games about climate change as resources for the Environmental Education Centre of Eleftherio-Kordelio and educators throughout Greece. Using a knowledge survey, observations, and other forms of assessment, we developed, tested, and refined 6 serious games with 185 students. These games, along with 8 others, are presented in a booklet that can be disseminated to Greek educators.",http://digitalcommons.wpi.edu/iqp-all/5408,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=6407&context=iqp-all
Climate Change Research Analysis,"Washington, DC",December 2007,Environmental Protection Agency,"['Ault, Holly Keyes', 'Hanlan, James P.']","The Environmental Protection Agency (EPA) is responsible for monitoring climate change in the U.S., and setting and enforcing regulations. National Center for Environmental Research (NCER), a branch of the EPA, funds technological projects that will mitigate global warming. The aim of this project was to research the developmental status of existing climate change technologies through literature reviews and interviews. Assessing what other organizations such as the Department of Energy are funding was another vital step. Using knowledge gained from the literature review, interviews, and assessment, recommendations were made to what technologies NCER should fund to have the greatest impact based on a limited budget.",http://digitalcommons.wpi.edu/iqp-all/1331,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=2330&context=iqp-all
Climate Change Adaptation Planning for Massachusetts Drinking Water and Wastewater Utilities,"Boston, Massachusetts",May 2010,MassDEP,"['Demetry, Chrysanthe', 'Vaz, Richard Francis']","This project focuses on how MassDEP can provide assistance to water utilities for adapting to climate change effects such as sea level rise, an increase in storm intensity and rising temperatures. Through interviews with MassDEP water experts, water associations and utilities, we identified ways MassDEP can assist utilities in adapting to changing weather conditions. Our final deliverable is a list of recommendations of how MassDEP can provide assistance to utilities in need of protecting themselves against potential weather related threats.",http://digitalcommons.wpi.edu/iqp-all/2614,https://digitalcommons.wpi.edu/cgi/viewcontent.cgi?article=3613&context=iqp-all
